"Algorithm","Hash","Path"
"SHA256","7CD5E648F99A365639CF0E61928D8426D481FEB17BA74177984BECA3561E451F","C:\Program Files\QZ Tray\qz-tray.exe"
"SHA256","B91E63FBDD21D218920298597D3E15A35E4D8D4A34F676BB64F194E7A3CF422D","C:\Program Files\QZ Tray\qz-tray.jar"
